oos_deviance,error,seed,model,predictor,years_ix,forecasting_horizon
480.292373522939,0.152651194161239,1,total,lc,1,1
929.096701582073,0.145255983365272,1,total,apc,1,1
1379.21174062369,0.14280574343364,1,total,rh,1,1
293.565093937058,0.0975087516855517,1,credibility,lc,1,1
543.349665008944,0.0872373783235504,1,credibility,apc,1,1
798.37166665372,0.0843041210962283,1,credibility,rh,1,1
253.290307303275,0.0856649999650489,1,separate,lc,1,1
510.114918868256,0.0896238183185474,1,separate,apc,1,1
772.177776186489,0.0891470514692699,1,separate,rh,1,1
449.606664857303,0.191586460178597,1,total,lc,2,1
861.991130407433,0.187519569260892,1,total,apc,2,1
1273.10159883615,0.185732479593675,1,total,rh,2,1
289.115891458027,0.125803183318204,1,credibility,lc,2,1
536.736375634854,0.113839186508874,1,credibility,apc,2,1
783.156799683152,0.109576252592156,1,credibility,rh,2,1
242.595163745371,0.103961312798382,1,separate,lc,2,1
491.81871610418,0.106245254009474,1,separate,apc,2,1
741.027691894803,0.104352315565292,1,separate,rh,2,1
463.931564177909,0.186067790979857,1,total,lc,3,1
890.886885795179,0.174593966440257,1,total,apc,3,1
1320.50682191826,0.172165482653115,1,total,rh,3,1
297.335958050112,0.122308787336118,1,credibility,lc,3,1
553.131592387758,0.114563512011892,1,credibility,apc,3,1
814.187250268218,0.112620425179143,1,credibility,rh,3,1
245.514256688992,0.0986093109249227,1,separate,lc,3,1
505.901297039509,0.105190176615562,1,separate,apc,3,1
779.760115227318,0.110269249234724,1,separate,rh,3,1
451.878618072646,0.167360072445006,1,total,lc,4,1
867.829363839107,0.159106174583224,1,total,apc,4,1
1287.10160965836,0.157682958837591,1,total,rh,4,1
298.638547728586,0.109230769101574,1,credibility,lc,4,1
556.66237460732,0.103846685561162,1,credibility,apc,4,1
819.485521668849,0.102744105229652,1,credibility,rh,4,1
385.036614110421,0.146307939251329,1,separate,lc,4,1
635.269710985193,0.123165971576849,1,separate,apc,4,1
885.033840283458,0.110970115933593,1,separate,rh,4,1
421.064901562533,0.213828523358473,1,total,lc,5,1
822.641840354319,0.21441633579104,1,total,apc,5,1
1223.91386968049,0.213725866677524,1,total,rh,5,1
277.997497970537,0.135550217333023,1,credibility,lc,5,1
534.382823118677,0.131816895105565,1,credibility,apc,5,1
793.044181616302,0.130660108959759,1,credibility,rh,5,1
362.728816855626,0.193625583072868,1,separate,lc,5,1
628.059264839836,0.18136270439124,1,separate,apc,5,1
895.332887398457,0.181049803560273,1,separate,rh,5,1
414.298468382096,0.172596277850654,1,total,lc,6,1
813.495065331515,0.16680405712709,1,total,apc,6,1
1210.13793240349,0.164214490655382,1,total,rh,6,1
255.955885111852,0.0933882976329788,1,credibility,lc,6,1
492.643609447205,0.0852311028143842,1,credibility,apc,6,1
729.712525434482,0.0827422863806293,1,credibility,rh,6,1
230.938095201734,0.0749381206183541,1,separate,lc,6,1
475.815360043607,0.0815725415479933,1,separate,apc,6,1
709.448964646088,0.0816762852769232,1,separate,rh,6,1
454.142935123269,0.218878314189811,1,total,lc,1,5
853.761964161557,0.217878566242553,1,total,apc,1,5
1262.35997202244,0.221948671495691,1,total,rh,1,5
316.099011541011,0.145054375163588,1,credibility,lc,1,5
570.053701818407,0.136918603150367,1,credibility,apc,1,5
829.222056630015,0.136633531025924,1,credibility,rh,1,5
256.403749132269,0.142624829173942,1,separate,lc,1,5
521.56146886321,0.147421660200193,1,separate,apc,1,5
796.815925463145,0.1538079837699,1,separate,rh,1,5
455.160631924923,0.191760612264171,1,total,lc,2,5
867.624463796918,0.182615334803439,1,total,apc,2,5
1276.53113316115,0.180247962317749,1,total,rh,2,5
308.034598669678,0.121812039716578,1,credibility,lc,2,5
560.220930880076,0.108586523199584,1,credibility,apc,2,5
809.373946187785,0.103729629545423,1,credibility,rh,2,5
233.787795455919,0.0821318667338968,1,separate,lc,2,5
481.46618448604,0.0875643009996859,1,separate,apc,2,5
737.723139030296,0.0900591470826568,1,separate,rh,2,5
429.266126745524,0.19421216166661,1,total,lc,3,5
807.015852439035,0.18939485674403,1,total,apc,3,5
1186.16663509153,0.186780987962286,1,total,rh,3,5
337.255756102523,0.16442072433379,1,credibility,lc,3,5
607.7176169702,0.157548319704203,1,credibility,apc,3,5
883.179363480192,0.155242676626239,1,credibility,rh,3,5
246.692610984507,0.12634446952986,1,separate,lc,3,5
534.566527062367,0.140360283020744,1,separate,apc,3,5
996.071125457084,0.164826415281085,1,separate,rh,3,5
397.095068852008,0.174549562402403,1,total,lc,4,5
782.938364343595,0.180403142197106,1,total,apc,4,5
1161.69247710626,0.181689969216685,1,total,rh,4,5
274.630315827023,0.122354254971195,1,credibility,lc,4,5
527.281959458802,0.124979322880671,1,credibility,apc,4,5
775.631094649466,0.124678662802508,1,credibility,rh,4,5
232.754129258923,0.112496957412258,1,separate,lc,4,5
492.708328412131,0.128538190988056,1,separate,apc,4,5
760.273325407122,0.138328921068758,1,separate,rh,4,5
421.154401567639,0.18360684816644,1,total,lc,5,5
810.081091754751,0.179523450712891,1,total,apc,5,5
1196.99777710782,0.176528792718482,1,total,rh,5,5
279.563544281243,0.11213683329674,1,credibility,lc,5,5
520.699388457621,0.105988862206703,1,credibility,apc,5,5
764.846938141145,0.102425766361489,1,credibility,rh,5,5
343.521919014941,0.168610611532127,1,separate,lc,5,5
603.810105673411,0.151302053072622,1,separate,apc,5,5
866.675923409308,0.144883457832333,1,separate,rh,5,5
408.559342431331,0.178797004624486,1,total,lc,6,5
785.642239994564,0.170835248187507,1,total,apc,6,5
1162.42278903367,0.167728413343894,1,total,rh,6,5
284.759275287241,0.10790481719533,1,credibility,lc,6,5
530.480463463779,0.101969514719363,1,credibility,apc,6,5
779.605047715243,0.0993280591332643,1,credibility,rh,6,5
236.687463028365,0.100019332716822,1,separate,lc,6,5
503.695154649362,0.112505391626129,1,separate,apc,6,5
1008.55701964008,0.155647748333935,1,separate,rh,6,5
482.147184140787,0.209720028479663,1,total,lc,2,8
874.786868391596,0.192833014846688,1,total,apc,2,8
1265.52774473528,0.186675903120629,1,total,rh,2,8
356.287336090715,0.140613783019339,1,credibility,lc,2,8
603.058806302125,0.122481928777356,1,credibility,apc,2,8
849.975761214077,0.114830666702157,1,credibility,rh,2,8
236.859127224877,0.0974326500816625,1,separate,lc,2,8
477.93490411126,0.099408963256323,1,separate,apc,2,8
728.684633581829,0.10119253575061,1,separate,rh,2,8
476.276108382131,0.208013384606815,1,total,lc,3,8
886.416413609804,0.200192471495327,1,total,apc,3,8
1308.21531756411,0.202498613916567,1,total,rh,3,8
366.10650406717,0.140589382296303,1,credibility,lc,3,8
644.778662816613,0.134113423552274,1,credibility,apc,3,8
929.867184509856,0.135488530084378,1,credibility,rh,3,8
238.122088861208,0.0921143453983947,1,separate,lc,3,8
506.412051394629,0.102271490111231,1,separate,apc,3,8
902.748971797598,0.142238992051408,1,separate,rh,3,8
411.413671592522,0.196649023932458,1,total,lc,4,8
749.961435943013,0.177446666250338,1,total,apc,4,8
1089.07286534303,0.17250514236569,1,total,rh,4,8
