oos_deviance,error,seed,model,predictor,years_ix,forecasting_horizon,scenario
374.185487231758,0.291428268489315,1,total,lc,1,1,1
744.301139650161,0.291029231721591,1,total,apc,1,1,1
1116.0970713231,0.292572538426577,1,total,rh,1,1,1
261.821610094373,0.117850093149742,1,credibility,lc,1,1,1
519.10436946912,0.116320984108554,1,credibility,apc,1,1,1
776.10416626298,0.116325203252892,1,credibility,rh,1,1,1
311.564445148331,0.210758380552694,1,separate,lc,1,1,1
580.454240749871,0.172823908225396,1,separate,apc,1,1,1
852.073384247144,0.160162785526747,1,separate,rh,1,1,1
365.386948915713,0.275262786718693,1,total,lc,2,1,1
731.506316236496,0.274918969685244,1,total,apc,2,1,1
1097.3294893681,0.275006942428898,1,total,rh,2,1,1
257.063869874984,0.103183718144848,1,credibility,lc,2,1,1
512.513760752896,0.102993110121396,1,credibility,apc,2,1,1
766.389753267156,0.102407829416317,1,credibility,rh,2,1,1
251.945825405165,0.104620286601481,1,separate,lc,2,1,1
519.833215918149,0.114953510783639,1,separate,apc,2,1,1
791.682564343246,0.119302477591845,1,separate,rh,2,1,1
383.387669506652,0.27697727841702,1,total,lc,3,1,1
763.315938659716,0.277028851293075,1,total,apc,3,1,1
1143.30329568678,0.276473503436187,1,total,rh,3,1,1
280.037420553538,0.120110614017228,1,credibility,lc,3,1,1
554.688736126957,0.118832990495953,1,credibility,apc,3,1,1
827.725955608772,0.118317127991126,1,credibility,rh,3,1,1
339.96657611327,0.24647974989971,1,separate,lc,3,1,1
713.882272656283,0.194578476544505,1,separate,apc,3,1,1
1070.9296075514,0.217178772921041,1,separate,rh,3,1,1
386.251655429178,0.326355407512869,1,total,lc,4,1,1
769.429818324013,0.325520048893268,1,total,apc,4,1,1
1149.84193565124,0.324470154213626,1,total,rh,4,1,1
276.289917494779,0.129813348485197,1,credibility,lc,4,1,1
547.722304520455,0.12893656092155,1,credibility,apc,4,1,1
814.767771636633,0.128033584079479,1,credibility,rh,4,1,1
256.25926810028,0.116060512086003,1,separate,lc,4,1,1
528.469101187753,0.143699668011522,1,separate,apc,4,1,1
893.644567050064,0.219956497790678,1,separate,rh,4,1,1
356.592376143001,0.277686888406004,1,total,lc,5,1,1
720.702268721228,0.279949036461888,1,total,apc,5,1,1
1083.71788101278,0.280781440508429,1,total,rh,5,1,1
253.080074372689,0.118068699371886,1,credibility,lc,5,1,1
511.728585089661,0.117907988718943,1,credibility,apc,5,1,1
768.404334060478,0.117450840026185,1,credibility,rh,5,1,1
333.669994295975,0.266646994986948,1,separate,lc,5,1,1
601.889841351181,0.198226802677307,1,separate,apc,5,1,1
876.592883492767,0.173521313114954,1,separate,rh,5,1,1
351.204739032554,0.282146298033573,1,total,lc,6,1,1
702.897080577448,0.281505727586719,1,total,apc,6,1,1
1051.79553488857,0.280469169068275,1,total,rh,6,1,1
252.129667641905,0.0995763536693143,1,credibility,lc,6,1,1
502.693758091807,0.0996708144129949,1,credibility,apc,6,1,1
749.075511902268,0.0987253939838329,1,credibility,rh,6,1,1
306.881686978147,0.222548890735039,1,separate,lc,6,1,1
557.524935620118,0.161885280190809,1,separate,apc,6,1,1
869.935007872916,0.193120893605244,1,separate,rh,6,1,1
361.517002061702,0.277753008824207,1,total,lc,1,5,1
730.46560409957,0.279528516540839,1,total,apc,1,5,1
1096.08617076971,0.28050137688625,1,total,rh,1,5,1
259.702215800418,0.122991977619443,1,credibility,lc,1,5,1
524.425406599803,0.121815244463151,1,credibility,apc,1,5,1
786.856146938459,0.121236633909688,1,credibility,rh,1,5,1
334.443185181568,0.26900019357739,1,separate,lc,1,5,1
742.001832591672,0.221375664260528,1,separate,apc,1,5,1
1238.45804454102,0.209586249077943,1,separate,rh,1,5,1
356.433608506873,0.282171596989746,1,total,lc,2,5,1
713.159574329717,0.280761654290642,1,total,apc,2,5,1
1067.67426505955,0.279827473519393,1,total,rh,2,5,1
258.886635956385,0.101943452381447,1,credibility,lc,2,5,1
514.587628575565,0.10110580464915,1,credibility,apc,2,5,1
768.105220089527,0.10072600452047,1,credibility,rh,2,5,1
244.285229383535,0.0845862007205761,1,separate,lc,2,5,1
530.521179768133,0.101633698141174,1,separate,apc,2,5,1
876.721092723527,0.154065682781628,1,separate,rh,2,5,1
348.15132933873,0.271931774077986,1,total,lc,3,5,1
695.57308852074,0.269392357896694,1,total,apc,3,5,1
1040.91757366762,0.268392178969289,1,total,rh,3,5,1
255.368452760195,0.0923472116325305,1,credibility,lc,3,5,1
506.962457651629,0.0904304257265375,1,credibility,apc,3,5,1
755.912889217706,0.0891289742250671,1,credibility,rh,3,5,1
247.725348108883,0.077661364395243,1,separate,lc,3,5,1
771.872713393361,0.112265766600131,1,separate,apc,3,5,1
1120.24844975242,0.15583573565297,1,separate,rh,3,5,1
395.350242385808,0.34032980578443,1,total,lc,4,5,1
799.699827787387,0.33678762263332,1,total,apc,4,5,1
1199.92295287311,0.335694949109782,1,total,rh,4,5,1
272.477393052698,0.122467460194137,1,credibility,lc,4,5,1
550.60653813986,0.120744431775534,1,credibility,apc,4,5,1
823.761804737986,0.119973435544762,1,credibility,rh,4,5,1
333.823939490258,0.2531234345767,1,separate,lc,4,5,1
734.987144121648,0.270364184593761,1,separate,apc,4,5,1
1470.81639245865,0.466108680062404,1,separate,rh,4,5,1
382.80879761243,0.268234725658735,1,total,lc,5,5,1
759.568275964783,0.265046019983772,1,total,apc,5,5,1
1134.27627248142,0.264772107036107,1,total,rh,5,5,1
273.915568835147,0.109325799474149,1,credibility,lc,5,5,1
539.015726315298,0.106710451986007,1,credibility,apc,5,5,1
802.115586047603,0.105831664367897,1,credibility,rh,5,5,1
323.854204647135,0.206497055443508,1,separate,lc,5,5,1
613.52413296058,0.174067158330786,1,separate,apc,5,5,1
964.575749451953,0.199378111244232,1,separate,rh,5,5,1
359.307999560709,0.280121276750595,1,total,lc,6,5,1
721.606892825138,0.279353430353294,1,total,apc,6,5,1
1082.2197856638,0.279003070742102,1,total,rh,6,5,1
255.028666753325,0.0906406607634926,1,credibility,lc,6,5,1
511.102986610291,0.0911698859938102,1,credibility,apc,6,5,1
765.101527612993,0.0910001936576435,1,credibility,rh,6,5,1
242.7005961544,0.080182512811008,1,separate,lc,6,5,1
515.24312170656,0.103003845094378,1,separate,apc,6,5,1
869.159528345232,0.165218586072166,1,separate,rh,6,5,1
406.738165795909,0.335269896408764,1,total,lc,1,8,1
815.310182448837,0.332400470827087,1,total,apc,1,8,1
1218.71602743646,0.332766904146538,1,total,rh,1,8,1
284.2683792152,0.122578639409712,1,credibility,lc,1,8,1
567.775151840128,0.119871257186186,1,credibility,apc,1,8,1
849.116344192006,0.120074433506331,1,credibility,rh,1,8,1
331.131999732648,0.236797887712182,1,separate,lc,1,8,1
787.057912548428,0.203662270346697,1,separate,apc,1,8,1
1636.99097556658,0.258157227432906,1,separate,rh,1,8,1
388.017208525509,0.273065850083876,1,total,lc,2,8,1
767.460040612954,0.269857135880279,1,total,apc,2,8,1
1153.43855489693,0.270540539608696,1,total,rh,2,8,1
282.237512329457,0.114169814364445,1,credibility,lc,2,8,1
552.010906027132,0.111172191270365,1,credibility,apc,2,8,1
829.530327438836,0.111827075697901,1,credibility,rh,2,8,1
321.756182037899,0.209125325680166,1,separate,lc,2,8,1
639.551809282412,0.182851200409795,1,separate,apc,2,8,1
1058.96071541543,0.217126759003743,1,separate,rh,2,8,1
362.485252959476,0.278822920164609,1,total,lc,3,8,1
728.814761404805,0.278147015729224,1,total,apc,3,8,1
1093.40060667561,0.277682399811146,1,total,rh,3,8,1
260.025807903763,0.0938711458215712,1,credibility,lc,3,8,1
520.526696771251,0.0921841169475622,1,credibility,apc,3,8,1
779.790708892031,0.0917319192373422,1,credibility,rh,3,8,1
247.205078727202,0.0881073349650432,1,separate,lc,3,8,1
839.13884664366,0.1263230347365,1,separate,apc,3,8,1
1189.46200554173,0.166434165553614,1,separate,rh,3,8,1
347.029928029685,0.266564332254605,1,total,lc,4,8,1
700.270466182363,0.263423607885466,1,total,apc,4,8,1
1050.86596013197,0.264043544420286,1,total,rh,4,8,1
262.351011643229,0.0975659547581695,1,credibility,lc,4,8,1
526.158978008009,0.0955651334593612,1,credibility,apc,4,8,1
786.255178853086,0.0953112366762448,1,credibility,rh,4,8,1
299.392119623237,0.214869592061482,1,separate,lc,4,8,1
742.786629416028,0.230605957204995,1,separate,apc,4,8,1
1264.98877385494,0.302227119528271,1,separate,rh,4,8,1
333.829254800128,0.251299461830032,1,total,lc,5,8,1
671.234128718771,0.245683235293814,1,total,apc,5,8,1
1002.02622810351,0.244875231220394,1,total,rh,5,8,1
265.449661609854,0.122974760145593,1,credibility,lc,5,8,1
